/out X,/out Y,/in X,/in Y
1.515190937355064e-06,1.031713527933998,1.515190937355064e-06,1
1.515655020429224e-06,1.027446571992943,1.515655020429224e-06,1
1.516226631006061e-06,1.022845782659335,1.516226631006061e-06,1
1.51697174938233e-06,1.017820898275978,1.51697174938233e-06,1
1.517868545891994e-06,1.013019627372567,1.517868545891994e-06,1
1.518639111961397e-06,1.009811604389514,1.518639111961397e-06,1
1.519362861583563e-06,1.007432194970871,1.519362861583563e-06,1
1.520097239898355e-06,1.005524382908284,1.520097239898355e-06,1
1.520863156159646e-06,1.003968486227418,1.520863156159646e-06,1
1.521690628367668e-06,1.002678327878481,1.521690628367668e-06,1
1.522600034597906e-06,1.00162042982306,1.522600034597906e-06,1
1.523607123642863e-06,1.000778234369518,1.523607123642863e-06,1
1.524728621896909e-06,1.00013502210843,1.524728621896909e-06,1
1.525984647763425e-06,0.9996700453299613,1.525984647763425e-06,1
1.527403159969781e-06,0.9993578129226435,1.527403159969781e-06,1
1.529025584976809e-06,0.9991699903934151,1.529025584976809e-06,1
1.530915734825287e-06,0.9990777398373628,1.530915734825287e-06,1
1.533176684787863e-06,0.9990535904167535,1.533176684787863e-06,1
1.535987647467459e-06,0.9990726643094096,1.535987647467459e-06,1
1.539608345799555e-06,0.999112590988236,1.539608345799555e-06,1
1.544268519798054e-06,0.9991526848596445,1.544268519798054e-06,1
1.550262791742327e-06,0.999180053487976,1.550262791742327e-06,1
1.558357403757489e-06,0.9991930054728247,1.558357403757489e-06,1
1.569253129403051e-06,0.9991957452457634,1.569253129403051e-06,1
1.583428573350294e-06,0.999194750577567,1.583428573350294e-06,1
1.603428573350294e-06,0.9991937650536434,1.603428573350294e-06,1
1.623428573350294e-06,0.9991935095791237,1.623428573350294e-06,1
1.643428573350294e-06,0.9991934733467684,1.643428573350294e-06,1
1.663428573350294e-06,0.999193464992111,1.663428573350294e-06,1
1.683428573350294e-06,0.9991934575166664,1.683428573350294e-06,1
1.703428573350294e-06,0.9991934532616491,1.703428573350294e-06,1
1.723428573350294e-06,0.9991934521849398,1.723428573350294e-06,1
1.743428573350294e-06,0.9991934524673124,1.743428573350294e-06,1
1.763428573350294e-06,0.9991934529115153,1.763428573350294e-06,1
1.783428573350294e-06,0.9991934531656442,1.783428573350294e-06,1
1.803428573350294e-06,0.9991934532559605,1.803428573350294e-06,1
1.823428573350294e-06,0.9991934532712023,1.823428573350294e-06,1
1.843428573350294e-06,0.9991934532656526,1.843428573350294e-06,1
1.863428573350294e-06,0.9991934532593445,1.863428573350294e-06,1
1.883428573350294e-06,0.9991934532560717,1.883428573350294e-06,1
1.903428573350294e-06,0.999193453254941,1.903428573350294e-06,1
1.923428573350294e-06,0.9991934532547293,1.923428573350294e-06,1
1.943428573350294e-06,0.9991934532547756,1.943428573350294e-06,1
1.963428573350294e-06,0.9991934532548422,1.963428573350294e-06,1
1.983428573350294e-06,0.9991934532548806,1.983428573350294e-06,1
2e-06,0.9991934532548936,2e-06,1
